,lat,lon,z
0,-34.85,287.5376443443348,15.586321
1,-36.266666666666666,286.70611418589573,10.716409
2,-35.04202687338501,287.1733377358491,12.933682
3,-36.85660930232558,286.3056441509434,8.944341
4,-34.711458620689655,287.2823293838863,12.161972
5,-36.09684310344828,287.1823312796209,11.753957
6,-35.057869184290034,287.20473870967743,16.995491
7,-36.97166374622356,286.4864801843318,8.777552
8,-34.439362068965515,287.195921978022,17.574486
9,-37.17124535809018,286.395289010989,7.847175
10,-35.21672553242981,287.3355321160898,19.86829
11,-37.21869922850163,286.5531894972686,9.843328
12,-36.255241250000005,287.2315603686636,11.459296
13,-36.3218625,286.4319290322581,11.415581
14,-35.022748125,287.7646479262673,8.106974
15,-34.40947854785478,287.67762417061607,7.142142
16,-35.96196468646865,287.67762417061607,4.756195
17,-35.07482303206997,286.6533949238579,16.30669
18,-36.60682419825073,286.62010964467004,14.134506
19,-35.057869184290034,287.20473870967743,17.914099
20,-36.905096978851965,286.4864801843318,10.130766
21,-34.867646799117,287.3,15.611523
22,-37.18339293598234,286.3333333333333,9.968634
